Record_Origin,Industry_Sector,Job_Title,Location,Region,Top_In_Demand_Technologies_MI (80% Share),Derived_Skill_DNA_Tokens,Market_Demand_Share_Pct,Projected_Growth_Rate_2026_Pct,Timestamp_UTC
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, BATTERY MANAGEMENT SYSTEM, MATLAB",24,10,2026-05-16T19:22:44.543713+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","EMBEDDED C++, BMS, MATLAB",23,19,2026-05-16T19:22:44.543919+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Northwest Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, BATTERY MANAGEMENT SYSTEM, AUTOSAR",17,27,2026-05-16T19:22:44.544018+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Northwest Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, ISO 26262, MATLAB",24,21,2026-05-16T19:22:44.544109+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Upper Peninsula,"Battery management system Platforms, Cloud Infrastructure Services","BATTERY MANAGEMENT SYSTEM, SIMULINK, MATLAB",30,26,2026-05-16T19:22:44.544191+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","HIGH VOLTAGE, LITHIUM-ION, BMS",25,14,2026-05-16T19:22:44.544278+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",East Michigan,"Matlab Platforms, Cloud Infrastructure Services","MATLAB, AUTOSAR, LITHIUM-ION",22,15,2026-05-16T19:22:44.544355+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Upper Peninsula,"High voltage Platforms, Cloud Infrastructure Services","HIGH VOLTAGE, AUTOSAR, BATTERY MANAGEMENT SYSTEM",30,15,2026-05-16T19:22:44.544442+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",West Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","ISO 26262, BMS, EMBEDDED C++",33,25,2026-05-16T19:22:44.544518+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",West Michigan,"Autosar Platforms, Cloud Infrastructure Services","AUTOSAR, ISO 26262, LITHIUM-ION",30,16,2026-05-16T19:22:44.544605+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Northwest Michigan,"Iso 26262 Platforms, Cloud Infrastructure Services","ISO 26262, LITHIUM-ION, CAN BUS",27,22,2026-05-16T19:22:44.544700+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Southeast Michigan,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, BATTERY MANAGEMENT SYSTEM, MATLAB",23,22,2026-05-16T19:22:44.544786+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",Southeast Michigan,"Can bus Platforms, Cloud Infrastructure Services","CAN BUS, SIMULINK, BATTERY MANAGEMENT SYSTEM",27,14,2026-05-16T19:22:44.544899+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",Upper Peninsula,"Embedded c++ Platforms, Cloud Infrastructure Services","EMBEDDED C++, AUTOSAR, LITHIUM-ION",31,9,2026-05-16T19:22:44.544989+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Senior EV Battery Software Engineer,"Michigan, USA",North East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","LITHIUM-ION, EMBEDDED C++, BMS",28,18,2026-05-16T19:22:44.545065+00:00
Live Online Aggregate Feed (LinkedIn/Indeed Index),"EV, Mobility & Automotive Manufacturing",Lead EV Battery Software Engineer Architect,"Michigan, USA",East Michigan,"BMS Integration, Allen-Bradley Studio 5000, SCADA Systems","BMS, AUTOSAR, HIGH VOLTAGE",22,11,2026-05-16T19:22:44.545154+00:00
