Record_Origin,Industry_Sector,Job_Title,Location,Region,Top_In_Demand_Technologies_MI (80% Share),Derived_Skill_DNA_Tokens,Market_Demand_Share_Pct,Projected_Growth_Rate_2026_Pct,Timestamp_UTC
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",South Central Michigan,High Voltage Power Electronics Architecture,"['BMS', 'CAN Bus', 'Power Electronics', 'UDS']",21,11,2026-05-16T19:13:21.146960+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",West Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'Power Electronics', 'Simulink', 'Thermal Management']",28,18,2026-05-16T19:13:21.147093+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",EV Battery Engineer,"Michigan, USA",Southeast Michigan,"BMS Integration, Allen-Bradley Studio 5000","['High Voltage', 'Lithium-ion Safety', 'Power Electronics', 'Thermal Management']",23,26,2026-05-16T19:13:21.147106+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",Southeast Michigan,AUTOSAR & ISO 26262 Frameworks,"['Embedded C++', 'High Voltage', 'ISO 26262', 'LIN Bus']",22,8,2026-05-16T19:13:21.147123+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['Drivetrain Integration', 'Lithium-ion Safety', 'Power Electronics', 'Thermal Management']",30,27,2026-05-16T19:13:21.147133+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['Drivetrain Integration', 'High Voltage', 'Matlab', 'Simulink']",17,15,2026-05-16T19:13:21.147142+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['BMS', 'Drivetrain Integration', 'Matlab', 'UDS']",17,27,2026-05-16T19:13:21.147170+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'CAN Bus', 'LIN Bus', 'Thermal Management']",16,9,2026-05-16T19:13:21.147181+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Mobility Systems Architect,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Drivetrain Integration', 'Embedded C++', 'Simulink']",19,25,2026-05-16T19:13:21.147190+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",South Central Michigan,"BMS Integration, Allen-Bradley Studio 5000","['CAN Bus', 'High Voltage', 'Lithium-ion Safety', 'UDS']",19,23,2026-05-16T19:13:21.147198+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",West Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Drivetrain Integration', 'LIN Bus', 'Simulink']",32,28,2026-05-16T19:13:21.147206+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",South Central Michigan,AUTOSAR & ISO 26262 Frameworks,"['CAN Bus', 'Lithium-ion Safety', 'Matlab', 'UDS']",29,14,2026-05-16T19:13:21.147222+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Embedded Controls Developer,"Michigan, USA",Southeast Michigan,High Voltage Power Electronics Architecture,"['BMS', 'Drivetrain Integration', 'LIN Bus', 'Lithium-ion Safety']",27,19,2026-05-16T19:13:21.147244+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",Upper Peninsula,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'BMS', 'Drivetrain Integration', 'UDS']",23,9,2026-05-16T19:13:21.147253+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",Drivetrain Calibration Specialist,"Michigan, USA",North East Michigan,High Voltage Power Electronics Architecture,"['AUTOSAR', 'CAN Bus', 'ISO 26262', 'UDS']",29,25,2026-05-16T19:13:21.147262+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",East Michigan,High Voltage Power Electronics Architecture,"['BMS', 'CAN Bus', 'Drivetrain Integration', 'Embedded C++']",30,14,2026-05-16T19:13:21.147270+00:00
Live Dynamic Tracker Pipeline (Validated Profile),"EV, Mobility & Automotive Manufacturing",BMS Software Developer,"Michigan, USA",Northwest Michigan,"BMS Integration, Allen-Bradley Studio 5000","['AUTOSAR', 'BMS', 'Lithium-ion Safety', 'Thermal Management']",32,19,2026-05-16T19:13:21.147278+00:00
